month,interest,scheduled_principal,prepayment,recovery,loss,total_cf,avg_survival,cumulative_cf,principal_return
1,9753466.748333367,3320746.049309336,286083452.4463385,30570727.419949513,10190242.473316507,329728392.6639312,0.86306263474226,329728392.6639312,319974925.9155973
2,8547982.060843399,2883261.4448505156,194352158.11812946,13715584.979128757,4571861.659709592,219498986.60295215,0.7742650426998217,549227379.2668834,210951004.5421087
3,7757266.5408474365,2600786.035782664,136376978.96043938,6360994.603034636,2120331.5343448888,153096026.14010352,0.7139231368191545,702323405.406987,145338759.5992567
4,7214174.7936654845,2410232.806480436,97952607.52987939,3019609.246734217,1006536.4155780758,110596624.37675925,0.6715187358514362,812920029.7837462,103382449.58309405
5,6828534.519531665,2277825.0430969335,71566855.61365487,1457393.2997205465,485797.76657351485,82130608.47600444,0.6409878978986837,895050638.2597507,75302073.95647234
6,6547880.705062832,2184048.3194695795,52956949.5378233,711804.6136438799,237268.20454796107,62400683.175999634,0.6186139172994881,957451321.4357504,55852802.47093675
7,6339779.714436798,2116913.600446527,39561151.201441094,350603.83574104065,116867.94524701417,48368448.352065675,0.6020037152886158,1005819769.787816,42028668.63762867
8,6183185.473742629,2068681.3533587733,29766772.810867265,173712.02772962156,57904.009243207496,38192351.66569822,0.5895542472710806,1044012121.4535142,32009166.19195566
9,6063903.367043978,2034152.4083934464,22519019.864957504,86407.88988874324,28802.62996291449,30703483.530283768,0.5801572587764796,1074715604.983798,24639580.163239695
10,5972063.043243337,2009721.4543760312,17105820.222377185,43083.66836248372,14361.222787494575,25130688.38835905,0.573027242262413,1099846293.372157,19158625.3451157
11,5900635.27370104,1992824.984379928,13033844.846253645,21506.130347992243,7168.710115997406,20948811.23468254,0.5675964485373107,1120795104.6068397,15048175.960981565
12,5844520.302765263,1981604.0335502897,9953937.3110874,10736.088440424583,3578.6961468082022,17790797.735843465,0.5634482132853942,1138585902.342683,11946277.433078114
13,5799964.700102995,1974689.7151631908,8798361.53247805,5364.76842423005,1788.2561414100107,16578380.716168454,0.5597802377579976,1155164283.0588515,10778416.016065469
14,5759753.809672544,1969360.0065316574,7562603.624766944,2605.5957852695087,868.5319284231705,15294323.036756359,0.5566249757830175,1170458606.0956078,9534569.227083871
15,5724175.9995542625,1965745.7108143135,5060790.636719078,1300.9873191584106,433.66243971946926,12752013.334406862,0.5545112928422273,1183210619.4300146,7027837.33485255
16,5697951.843417511,1965705.0013501165,3396999.079473386,657.3348533349953,219.11161777833087,11061313.259094296,0.553090827903233,1194271932.6891088,5363361.415676838
17,5677940.277363232,1968061.013614934,2281301.715045766,332.11831221687254,110.70610407229051,9927635.124336144,0.5521356829049278,1204199567.813445,4249694.846972917
18,5662085.883476602,1972041.3581695412,1532255.954553589,168.35765664967047,56.11921888322363,9166551.5538564,0.5514932954647467,1213366119.3673015,3504465.67037978
19,5649013.179370043,1977127.1228626298,1029055.6153291939,86.59345994624942,28.86448664874975,8655282.511021763,0.5510612744587002,1222021401.8783233,3006269.3316517696
20,5637799.62064474,1982968.8263224165,690861.0165789033,42.93957321894672,14.31319107298234,8311672.4031193,0.5507708271877532,1230333074.2814426,2673872.782474539
21,5627825.893761433,1989330.8617477259,463623.514262923,21.52514226774863,7.175047422582858,8080801.7949143015,0.550575635071161,1238413876.076357,2452975.9011529167
22,5618675.392851609,1996054.0729154302,310959.9133589131,10.91050895392915,3.6368363179763907,7925700.289634914,0.5504445272481361,1246339576.3659918,2307024.8967832974
23,5610068.040813407,2003031.003938062,208435.17974249914,6.0767005848677265,2.025566861622581,7821540.301194534,0.5503565155158217,1254161116.6671863,2211472.260381146
24,5601815.44209037,2010189.088084064,139612.7205123749,2.052453848755083,0.6841512829183617,7751619.303140639,0.5502974753589613,1261912735.970327,2149803.8610502873
25,5593790.935628944,2017479.361220559,105246.05410721012,1.4520556692428417,0.48401855641428143,7716517.803012404,0.5502529009971164,1269629253.7733393,2122726.8673834386
26,5585865.178479335,2024850.7803293236,79947.04499414857,0.8595836948619004,0.2865278982873009,7690663.8633865295,0.5502189898448299,1277319917.636726,2104798.684907167
27,5578003.956818875,2032290.2729669188,44041.01372506987,0.4091275180992561,0.1363758393664186,7654335.652638426,0.5502002803672572,1284974253.2893643,2076331.6958195067
28,5570246.70705265,2039814.8476296233,23486.1853487416,0.0,0.0,7633547.740031006,0.5501902875883713,1292607801.0293953,2063301.032978365
29,5562535.675227566,2047401.6042588223,12859.995467376273,1.1181453316584757,0.37271511055282464,7622798.393099066,0.5501848077725816,1300230599.4224944,2060262.7178715302
30,5554833.479832114,2055035.647488278,7030.806293041881,1.6712943762290506,0.5570981254096818,7616901.604907786,0.5501818065508521,1307847501.0274022,2062068.1250756963
31,5547121.975056852,2062709.8321105568,3786.6681753862667,0.3855249893108257,0.12850832977027526,7613618.86086781,0.5501801880018775,1315461119.88827,2066496.8858109324
32,5539391.318265542,2070420.3543299001,2075.9872117846385,0.24032638766003045,0.08010879588667687,7611887.900133581,0.5501792992892692,1323073007.7884035,2072496.5818680723
33,5531635.627201126,2078164.9978547513,1155.3686034702216,1.538953741925601,0.5129845806418672,7610957.532613061,0.5501788043131945,1330683965.3210166,2079321.9054119636
34,5523851.794178818,2085942.682240803,579.594921242446,0.0062942654345558005,0.002098088478185267,7610374.077635123,0.5501785553548477,1338294339.3986516,2086522.2834563109
35,5516038.365062842,2093753.0165393373,335.5779404797654,0.2348399978079407,0.07827999926931355,7610127.194382635,0.5501784097037857,1345904466.5930343,2094088.829319815
36,5508193.959881261,2101595.6133104553,184.05905162835958,0.28761489842169097,0.09587163280723027,7609973.919858267,0.5501783287217897,1353514440.5128925,2101779.959976982
37,5500318.101573809,2109470.472665968,93.08530134398949,0.29342491729990805,0.09780830576663603,7609881.952966023,0.5501782868593775,1361124322.4658585,2109563.851392229
38,5492410.378417755,2117377.644214729,70.67449528648149,0.2857201228084036,0.0952400409361345,7609858.982847914,0.5501782544666605,1368734181.4487064,2117448.604430138
39,5484470.4506586185,2125317.164115539,18.541954963134454,0.16304949393643978,0.054349831312146574,7609806.319778589,0.5501782450427648,1376343987.768485,2125335.8691199957
40,5476498.273048183,2133289.2330968487,2.7555753919011203,0.047872771616779275,0.01595759053892643,7609790.309593166,0.5501782444751208,1383953778.0780783,2133292.036545012
41,5468493.57069715,2141293.928798978,3.1949630006286673,0.1704593584541112,0.056819786151370344,7609790.864918435,0.5501782430364645,1391563568.9429967,2141297.2942213374
42,5460456.117159625,2149331.364645913,37.35515234295644,1.9771994271907545,0.6590664757302538,7609826.814157321,0.5501782255834113,1399173395.757154,2149370.696997683
43,5452385.645679428,2157401.626161306,0.0,0.0,0.0,7609787.271840746,0.5501782255834113,1406783183.0289948,2157401.626161306
44,5444282.281853499,2165504.9899872984,28.54373387182542,1.3692324198413366,0.4564108066137778,7609817.184807027,0.5501782124078421,1414393000.2138019,2165534.9029535903
45,5436145.62902194,2173641.482536112,36.6869015803468,1.4173969268285116,0.4724656422761706,7609825.215856543,0.5501781950929164,1422002825.4296584,2173679.5868346193
46,5427975.614882507,2181811.2870086087,4.279877372703714,0.004535583628919608,0.0015118612096398695,7609791.18630407,0.5501781930141223,1429612616.6159625,2181815.571421565
47,5419772.24935205,2190014.628451914,1.9943898221266299,0.0729826872331942,0.024327562411064697,7609788.945176453,0.5501781918692009,1437222405.5611389,2190016.6958244233
48,5411535.268233147,2198251.5998587683,6.5194253584502935,0.18441121978717792,0.06147040659572598,7609793.571928526,0.5501781887177852,1444832199.1330674,2198258.3036953467
49,5403264.496881776,2206522.3372564367,8.16961518620126,0.2712752315955844,0.09042507719852805,7609795.275028651,0.5501781847569176,1452441994.408096,2206530.7781468546
50,5394959.794344222,2214826.9963987325,7.207123054572752,0.28825123867724667,0.09608374622574858,7609794.28611725,0.5501781813159399,1460051788.6942134,2214834.491773026
51,5386621.017686408,2223165.7333248127,4.902259152919901,0.2773964205550654,0.09246547351835512,7609791.930666812,0.550178178993895,1467661580.6248803,2223170.912980386
52,5378248.021680848,2231538.7022646205,3.2954881656761215,0.1853794155084953,0.06179313850283181,7609790.204813076,0.5501781774456561,1475271370.8296933,2231542.1831322014
