Event,Horizon,C-index,Brier Score,Model,AUC_cure_overall,AUC_cure_prepay,AUC_cure_default
Prepay,24,0.37750998446754486,0.2127342459004399,Deep-PTCM,0.3850781217312301,0.3782698793803235,0.4058529696578438
Prepay,48,0.356214083327605,0.2283038023245386,Deep-PTCM,0.3850781217312301,0.3782698793803235,0.4058529696578438
Prepay,72,0.35817547444411246,0.2365811858795333,Deep-PTCM,0.3850781217312301,0.3782698793803235,0.4058529696578438
Default,24,0.4790228036748019,0.004684471197369164,Deep-PTCM,0.3850781217312301,0.3782698793803235,0.4058529696578438
Default,48,0.497874862224638,0.007400611707915633,Deep-PTCM,0.3850781217312301,0.3782698793803235,0.4058529696578438
Default,72,0.5052536231884058,0.009095900137016796,Deep-PTCM,0.3850781217312301,0.3782698793803235,0.4058529696578438
Prepay,IBS,,0.20808024212130255,Deep-PTCM,0.3850781217312301,0.3782698793803235,0.4058529696578438
Default,IBS,,0.005846943636636473,Deep-PTCM,0.3850781217312301,0.3782698793803235,0.4058529696578438
Prepay,24,0.4855974662133381,0.21777747164102257,Deep-PTCM-Expanded,0.4694697644393705,0.4618708522369987,0.5057036797934151
Prepay,48,0.44969029419596396,0.22997375398795622,Deep-PTCM-Expanded,0.4694697644393705,0.4618708522369987,0.5057036797934151
Prepay,72,0.4302439929447823,0.23595922981685322,Deep-PTCM-Expanded,0.4694697644393705,0.4618708522369987,0.5057036797934151
Default,24,0.5422112727905274,0.005465581665105906,Deep-PTCM-Expanded,0.4694697644393705,0.4618708522369987,0.5057036797934151
Default,48,0.5204624722561942,0.008143953251802276,Deep-PTCM-Expanded,0.4694697644393705,0.4618708522369987,0.5057036797934151
Default,72,0.5562577639751553,0.009780964895855471,Deep-PTCM-Expanded,0.4694697644393705,0.4618708522369987,0.5057036797934151
Prepay,IBS,,0.21178784423082833,Deep-PTCM-Expanded,0.4694697644393705,0.4618708522369987,0.5057036797934151
Default,IBS,,0.006603473790751851,Deep-PTCM-Expanded,0.4694697644393705,0.4618708522369987,0.5057036797934151
