Metric,Prepay (k=1),Default (k=2),Combined,Model,Experiment,Fold
C(48),0.7957002324169451,0.9996236113948962,0.8976619219059206,RSF,Exp 4.1,2
C(72),0.8268011508744706,0.9996354864647548,0.9132183186696127,RSF,Exp 4.1,2
ØC,0.7895941617848697,0.9992682259673503,0.89443119387611,RSF,Exp 4.1,2
C(24),0.9233051095791595,0.8075860462019839,0.8654455778905716,CSC,Exp 4.2,0
C(48),0.9506279154779017,0.8487858827994882,0.899706899138695,CSC,Exp 4.2,0
C(72),0.9591505754940658,0.8802005012531329,0.9196755383735993,CSC,Exp 4.2,0
ØC,0.944361200183709,0.8455241434182016,0.8949426718009552,CSC,Exp 4.2,0
C(24),0.6805402457371335,0.7480000221911546,0.714270133964144,FGR,Exp 4.2,0
C(48),0.706929134316968,0.7879998560270669,0.7474644951720175,FGR,Exp 4.2,0
C(72),0.7170205819382942,0.8138680033416875,0.7654442926399909,FGR,Exp 4.2,0
ØC,0.7014966539974652,0.783289293853303,0.7423929739253841,FGR,Exp 4.2,0
C(24),0.9387547859635428,0.8772745933470919,0.9080146896553174,RSF,Exp 4.2,0
C(48),0.9720976294606903,0.9080209284290917,0.9400592789448909,RSF,Exp 4.2,0
C(72),0.9826476367946142,0.9343530394613986,0.9585003381280064,RSF,Exp 4.2,0
ØC,0.9645000174062824,0.9065495204125273,0.9355247689094048,RSF,Exp 4.2,0
C(24),0.9236403260776176,0.7431972984459172,0.8334188122617674,CSC,Exp 4.2,1
C(48),0.9541086701265846,0.8400500625782228,0.8970793663524037,CSC,Exp 4.2,1
C(72),0.9592243517560411,0.8652145447743357,0.9122194482651884,CSC,Exp 4.2,1
ØC,0.9456577826534144,0.816153968599492,0.8809058756264532,CSC,Exp 4.2,1
C(24),0.6782411585530917,0.7201100377895958,0.6991755981713438,FGR,Exp 4.2,1
C(48),0.7142251310484368,0.7977592958940611,0.7559922134712489,FGR,Exp 4.2,1
C(72),0.7277068179743137,0.8213703014746381,0.7745385597244758,FGR,Exp 4.2,1
ØC,0.7067243691919475,0.779746545052765,0.7432354571223563,FGR,Exp 4.2,1
C(24),0.9373435588194743,0.8800151617831176,0.9086793603012959,RSF,Exp 4.2,1
C(48),0.9772320797286659,0.9320016956679721,0.954616887698319,RSF,Exp 4.2,1
C(72),0.9840457422849839,0.9445867583942137,0.9643162503395988,RSF,Exp 4.2,1
