GP_var,GP_range,variant,test_year,cause,GP_range_time,GP_range_space
0.08312744165021359,1.7495212726711142,linear_spatial,2015,prepay,,
2.5343879673474454,3988.689771131739,linear_spatial,2015,default,,
0.14682329348111262,,linear_spatio_temporal,2015,prepay,0.1855295154588901,2.053138776725712
0.08496322644416182,,linear_spatio_temporal,2015,default,0.21043607257590166,2079.8445267681495
0.07049120368881419,1.4432668203299024,lagaboost_spatial,2015,prepay,,
0.9227866896368484,0.20887468526293013,lagaboost_spatial,2015,default,,
0.1786244671713508,,lagaboost_spatio_temporal,2015,prepay,1.046917746142313,3.758708568711197
1.8195192410590582,,lagaboost_spatio_temporal,2015,default,0.6113306782617338,0.08199710901898823
0.47855181313625816,7.102445690276331,linear_spatial,2016,prepay,,
7.910790162064913,2445.1500381868073,linear_spatial,2016,default,,
0.10487463991809048,,linear_spatio_temporal,2016,prepay,0.18548024464746132,2.347913803605346
0.0973285326949921,,linear_spatio_temporal,2016,default,0.2132493566304756,12870.75117304844
0.05538910209032398,1.7497586960850384,lagaboost_spatial,2016,prepay,,
0.6199986408870348,0.1669382521138373,lagaboost_spatial,2016,default,,
0.13109939700184578,,lagaboost_spatio_temporal,2016,prepay,0.8097477140306548,4.094622975169612
1.561919823472227,,lagaboost_spatio_temporal,2016,default,0.5210762349907977,0.011213567313035317
0.45147498499915706,7.875195128297215,linear_spatial,2017,prepay,,
11.616748553852025,992.251955413932,linear_spatial,2017,default,,
0.11118927295031467,,linear_spatio_temporal,2017,prepay,1.0567504831616688,2.145953715876423
6.171328497006179,,linear_spatio_temporal,2017,default,96.43893729034625,10897.124039475535
0.04806366173362523,1.6241461621244042,lagaboost_spatial,2017,prepay,,
0.5586402061797499,0.13740657841126652,lagaboost_spatial,2017,default,,
0.1286833601862515,,lagaboost_spatio_temporal,2017,prepay,0.9644394601482121,5.444483989314301
1.4751961594224916,,lagaboost_spatio_temporal,2017,default,0.6583609587406126,0.08494188678356594
0.49048381670154023,8.257649084900269,linear_spatial,2018,prepay,,
11.46938241162897,1719.1953661277246,linear_spatial,2018,default,,
0.10140306419997565,,linear_spatio_temporal,2018,prepay,1.0095638251422285,1.9611978206882044
1.9490110188380687,,linear_spatio_temporal,2018,default,17.26552751284742,364.06203433251704
0.04574428081624202,2.0378295395081105,lagaboost_spatial,2018,prepay,,
0.4179726673554748,0.5668727814794492,lagaboost_spatial,2018,default,,
0.11723375809241676,,lagaboost_spatio_temporal,2018,prepay,1.0051779460187857,5.2251197926339845
1.5069880772423137,,lagaboost_spatio_temporal,2018,default,0.13785737536318698,0.045616441422746914
0.46117572865812106,9.42469907539634,linear_spatial,2019,prepay,,
