variant,test_year,cause,fit_seconds,AUC,log_loss,Brier,ECE,n_events
linear_spatio_temporal,2020,default,175.79303884506226,0.7020761588826603,0.07565678569032067,0.011270488706537659,0.01009978691943842,460
lagaboost_spatial,2020,prepay,163.5773298740387,0.6527664406507049,0.6392864961103265,0.2117872394557711,0.14559006958170922,11569
lagaboost_spatial,2020,default,163.5773298740387,0.5660726857220076,0.07743551198238566,0.011334559069447069,0.01023511438381258,460
lagaboost_spatio_temporal,2020,prepay,2212.7284259796143,0.6437356759637163,0.6429197695783965,0.2132229761558656,0.14602633169501444,11569
lagaboost_spatio_temporal,2020,default,2212.7284259796143,0.6542695246772042,0.07415516387709026,0.011325000858192666,0.009865581054850673,460
linear_independent,2021,prepay,1.0335218906402588,0.6411095646606141,0.5713875915324848,0.19361063481291677,0.0579532166867391,9972
linear_independent,2021,default,1.0335218906402588,0.7646663745376959,0.04868108287550419,0.007280241846704811,0.035542950809166654,87
linear_spatial,2021,prepay,17.02912998199463,0.6546083919664362,0.5568525708640648,0.18681428595818994,0.029465985182784468,9972
linear_spatial,2021,default,17.02912998199463,0.7523537648862956,0.04647723425913406,0.00610901614999956,0.034227676310724764,87
linear_spatio_temporal,2021,prepay,254.04165410995483,0.6650743638883301,0.5499843045025674,0.18386495349821713,0.017561976568841054,9972
linear_spatio_temporal,2021,default,254.04165410995483,0.8248957188598265,0.03857626036237693,0.004376641967718171,0.028202786459522837,87
lagaboost_spatial,2021,prepay,241.05561995506287,0.6853977491877963,0.5422666074400351,0.18041717445339794,0.04846400691336708,9972
lagaboost_spatial,2021,default,241.05561995506287,0.7927015236537092,0.014228370149153595,0.0023602405376034947,0.0019203065396747147,87
lagaboost_spatio_temporal,2021,prepay,5161.934241056442,0.6904819280339852,0.5364563387390282,0.17870578123505884,0.03215526937545801,9972
lagaboost_spatio_temporal,2021,default,5161.934241056442,0.8618788838563134,0.014276234736715089,0.0023869623490195726,0.002066685000378388,87
linear_independent,2022,prepay,1.2932219505310059,0.6496511663129058,0.35705746626880475,0.1008085335048167,0.1048161677964406,3499
linear_independent,2022,default,1.2932219505310059,0.7929495268138801,0.010839960023997864,0.001350211327885679,0.004162326380774881,38
linear_spatial,2022,prepay,20.171291828155518,0.6586516586907647,0.3431628569215997,0.09584277280609096,0.08555578380154723,3499
