variant,test_year,cause,fit_seconds,AUC,log_loss,Brier,ECE,n_events
linear_independent,2018,prepay,0.2431480884552002,0.5934387685257694,0.2968117550518493,0.07934907693883216,0.04134973400781431,3199
linear_independent,2018,default,0.2431480884552002,0.8763378959457391,0.007065666770116867,0.0010839848910348868,0.0007212439483482223,39
linear_spatial,2018,prepay,10.861327886581421,0.5989185283670575,0.28883316741393533,0.07688076010714362,0.025483161476670405,3199
linear_spatial,2018,default,10.861327886581421,0.9049302186557089,0.006782217519803771,0.0010785602515102544,0.0009004333780388393,39
linear_independent,2019,prepay,0.2974662780761719,0.5704551811432214,0.3897248030993214,0.11272015090702416,0.03968692700574066,5174
linear_independent,2019,default,0.2974662780761719,0.8749044548231205,0.0057825497013230314,0.0008833699007293191,0.0004629905957682023,33
linear_spatial,2019,prepay,11.71625018119812,0.6211760318788742,0.3801256534206166,0.11028012806826455,0.029885542305628832,5174
linear_spatial,2019,default,11.71625018119812,0.9053977955192822,0.00567976486691446,0.0009217400617777875,0.0006134635825957037,33
