Horizon,C_prepay,C_default,BS_prepay,BS_default
24,0.3155586873057468,0.4854275092936803,0.7670562279128501,0.0025342740462704944
48,0.33825859985377,0.6003097741909187,0.6158208328410327,0.002635830046250789
72,0.37203572106606,0.5398331895312051,0.5175793461210515,0.0029378311589422874
