,Prepay,Default
ipcw_24,0.9546899135728452,0.9938788275694778
ipcw_48,0.918413543634787,0.9961077270574273
ipcw_72,0.900704841309026,0.9957212043010943
harrell,0.9752747937722138,0.9777134863610352
