covariate,coef_prepay,hr_prepay,p_prepay,coef_default,hr_default,p_default,coef_diff,effect_direction
int_rate,0.017794907883573925,1.0179541806020163,2.1604479675796477e-06,0.006102133277424934,1.0061207892204052,0.20863961750977172,0.011692774606148992,Same
log_upb,0.0628111324169741,1.0648257091803932,8.417284398687741e-72,0.0015035965668996729,1.0015047275349866,0.756619793449756,0.061307535850074424,Same
fico_score,-0.054453409919792244,0.947002628758473,6.9560679004356715e-59,-0.012959066441538627,0.9871245407134035,0.00750625364428852,-0.04149434347825362,Same
dti_r,0.021821448660868478,1.0220612777676952,7.98330998345282e-11,0.007200160353753304,1.0072261438326156,0.13774022341711176,0.014621288307115173,Same
ltv_r,0.06677416806138305,1.0690540243688265,3.6182796107906854e-84,0.006688505007385944,1.0067109230101068,0.16792870822684114,0.0600856630539971,Same
bal_repaid,1.3071109920838169,3.695481998675805,0.0,-0.0039589117181554456,0.9960489144417423,0.41600043691194855,1.3110699038019724,Opposite
t_act_12m,0.004191291536463406,1.0042000872830548,0.3808276693473919,-0.021392863489868203,0.9788343407469693,1.1505170742181704e-05,0.025584155026331608,Opposite
t_del_30d_12m,0.003130981819626165,1.0031358884627373,0.39599060090640503,0.0680878397449849,1.0704593332240062,2.833372479654453e-49,-0.06495685792535874,Same
t_del_60d_12m,-0.0023124835149663796,0.9976901882151963,0.5309077377916189,0.10255573678119563,1.1079990564897644,0.0,-0.10486822029616201,Opposite
hpi_st_d_t_o,-0.0065788473845245984,0.993442745853109,0.12475801263812741,-0.0010125024915003551,0.9989880099161946,0.835468992077089,-0.005566344893024243,Same
ppi_c_FRMA,0.09532625243806425,1.1000176800391954,2.8312485272527837e-108,0.010082609588104138,1.0101336103589953,0.03774902709473561,0.08524364284996011,Same
TB10Y_d_t_o,-0.06761651628843411,0.9346188159560315,7.07667045401153e-60,-0.012430451582787884,0.9876464873552832,0.01039492488635018,-0.05518606470564623,Same
FRMA30Y_d_t_o,-0.06289015620141299,0.9390466164716356,3.849755680757521e-48,-0.008386316145794347,0.9916487509071874,0.08400522078048697,-0.05450384005561864,Same
ppi_o_FRMA,0.09925467847826178,1.104347517292486,9.87902607276432e-163,0.006119103665118034,1.0061378636251435,0.207042338102766,0.09313557481314375,Same
hpi_st_log12m,0.018641900264989145,1.018816745278904,2.3189457395478264e-07,-0.0010279244253594386,0.9989726037079768,0.8322806787955601,0.019669824690348583,Opposite
hpi_r_st_us,0.02011544190604533,1.0203191208122868,7.718386226326428e-09,-0.0003317463784284575,0.9996683086433168,0.9454596673641397,0.020447188284473786,Opposite
st_unemp_r12m,0.025830588283394622,1.026167089018869,2.6545216167909834e-15,0.025332592640062726,1.0256561895026322,1.712529322421931e-07,0.0004979956433318958,Same
st_unemp_r3m,-0.007840055807727543,0.9921905972702163,0.006047050943741357,0.012700277207341725,1.0127812682342259,0.008683886091696872,-0.020540333015069266,Opposite
TB10Y_r12m,-0.0064948587716935164,0.9935261872352742,0.07969914935173045,-0.010968642424073688,0.9890912937944315,0.02374996461663485,0.004473783652380172,Same
T10Y3MM,0.04282052773098483,1.043750553759681,1.065285064662457e-27,-0.0030838310561793324,0.9969209190666988,0.5251931012791939,0.045904358787164166,Opposite
T10Y3MM_r12m,0.0004326283657186274,1.0004327219628673,0.8773799003598767,-0.005035499004921976,0.9949771578667257,0.29803845897668585,0.005468127370640603,Opposite
