Feature,Mean,SD,CI_2.5%,CI_97.5%,Significant
int_rate,-1.6328243090022687,3.7081807744552697,-12.937755867472756,3.975125581035059,False
log_upb,0.11429333397967531,1.7099025029801749,-4.142757958204128,4.096518442024061,False
fico_score,1.8111311794312497,7.335777465039245,-6.2837633228667835,25.177819363144124,False
dti_r,26.77669417638933,49.98994010305096,-18.631987428729886,114.0339612443802,False
ltv_r,-0.7268147467181837,1.6393107307370065,-4.489086175100779,3.467736463509771,False
bal_repaid_lag1,-3.5603667594552033,5.446299638808789,-20.299043127814404,0.7051210007724693,False
t_act_12m,-0.7321274031217222,2.807523127213422,-4.994782963817486,6.087527353223398,False
t_del_30d_12m,49.46631178658623,84.16239060004746,-0.6444077884373837,195.591940668341,False
t_del_60d_12m,69.7430212013619,113.83742380431053,-22.760455416212785,350.2078979695308,False
hpi_st_d_t_o,-2.3077698876860104,4.100367514297322,-14.84625807673717,1.6575788382509673,False
ppi_c_FRMA,1.4695804670687374,6.641829147923039,-9.960749732127747,21.710494987756075,False
TB10Y_d_t_o,-1.9697615264825097,7.165235934285992,-21.240581747410587,10.945275377109354,False
FRMA30Y_d_t_o,2.685064354894709,10.363899629145315,-6.427071670933159,34.71862086277302,False
